timestamp,amf_session_value,bearers_active_value,fivegs_amffunction_amf_authreject_value,fivegs_amffunction_amf_authreq_value,fivegs_amffunction_mm_confupdate_value,fivegs_amffunction_mm_confupdatesucc_value,fivegs_amffunction_mm_paging5greq_value,fivegs_amffunction_mm_paging5gsucc_value,fivegs_amffunction_rm_regemergreq_value,fivegs_amffunction_rm_regemergsucc_value,fivegs_amffunction_rm_reginitreq_value,fivegs_amffunction_rm_reginitsucc_value,fivegs_amffunction_rm_regmobreq_value,fivegs_amffunction_rm_regmobsucc_value,fivegs_amffunction_rm_regperiodreq_value,fivegs_amffunction_rm_regperiodsucc_value,fivegs_ep_n3_gtp_indatapktn3upf_value,fivegs_ep_n3_gtp_outdatapktn3upf_value,fivegs_smffunction_sm_n4sessionestabreq_value,fivegs_smffunction_sm_n4sessionreport_value,fivegs_smffunction_sm_n4sessionreportsucc_value,fivegs_upffunction_sm_n4sessionestabreq_value,fivegs_upffunction_sm_n4sessionreport_value,fivegs_upffunction_sm_n4sessionreportsucc_value,fivegs_upffunction_upf_sessionnbr_value,gn_rx_createpdpcontextreq_value,gn_rx_deletepdpcontextreq_value,gn_rx_parse_failed_value,gnb_value,gtp1_pdpctxs_active_value,gtp2_sessions_active_value,gtp_new_node_failed_value,gtp_peers_active_value,process_cpu_seconds_total_value,process_max_fds_value,process_open_fds_value,process_resident_memory_bytes_value,process_start_time_seconds_value,process_virtual_memory_bytes_value,process_virtual_memory_max_bytes_value,ran_ue_value,s5c_rx_createsession_value,s5c_rx_parse_failed_value,ue_registration_duration_seconds_avg_value,ue_registration_duration_seconds_last_value,ue_registration_duration_seconds_max_value,ue_registration_duration_seconds_min_value,ue_session_duration_seconds_avg_value,ue_session_duration_seconds_last_value,ue_session_duration_seconds_max_value,ue_session_duration_seconds_min_value,application,log_type
2025-04-07 14:12:17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.178,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.178,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.182,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.182,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.182,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.182,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.182,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.184,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.184,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.184,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.184,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.184,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.184,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.184,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.184,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.184,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.184,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.186,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.186,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.186,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.188,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.188,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.188,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.188,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.188,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.188,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,1048576.0,19.4,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,1048576.0,19.6,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,1048576.0,19.6,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,1048576.0,19.6,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,1048576.0,19.6,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,1048576.0,19.6,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,1048576.0,19.6,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,1048576.0,19.6,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.192,1048576.0,19.6,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.192,1048576.0,19.6,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
2025-04-07 14:12:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.192,1048576.0,19.6,45126451.2,348805905.132,1151519948.8,-1.0,0.0,0.0,0.0,0.310369892473118,0.616,2.932,0.001,524.4778967741935,572.296,1539.94,14.336,,
